Plants,Swamp,Plants,Dirt,Brachiosaurus,Plants,Water,Fence,Path,Swamp,Water,Path,Parasaurolophus,Path,Forest,Dirt,Swamp,Parasaurolophus,Path,Trex,Brachiosaurus,Trex,Fence,Fence,Swamp,Swamp,Fence,Path,Brachiosaurus,Forest
Brachiosaurus,Swamp,Path,Plants,Fence,Mountain,Plants,Parasaurolophus,Parasaurolophus,Mountain,Mountain,Swamp,Mountain,Dirt,Trex,Plants,Fence,Trex,Fence,Swamp,Dirt,Forest,Dirt,Water,Path,Plants,Parasaurolophus,Plants,Dirt,Plants
Forest,Dirt,Path,Path,Trex,Trex,Water,Parasaurolophus,Dirt,Brachiosaurus,Path,Dirt,Trex,Dirt,Parasaurolophus,Path,Path,Parasaurolophus,Trex,Path,Swamp,Mountain,Parasaurolophus,Forest,Brachiosaurus,Mountain,Forest,Parasaurolophus,Brachiosaurus,Path
Water,Water,Plants,Plants,Trex,Mountain,Trex,Dirt,Path,Swamp,Water,Fence,Plants,Path,Swamp,Swamp,Plants,Trex,Parasaurolophus,Swamp,Fence,Brachiosaurus,Trex,Parasaurolophus,Water,Forest,Brachiosaurus,Mountain,Fence,Forest
Trex,Plants,Swamp,Forest,Plants,Water,Dirt,Mountain,Fence,Path,Parasaurolophus,Mountain,Parasaurolophus,Plants,Dirt,Dirt,Parasaurolophus,Path,Brachiosaurus,Parasaurolophus,Plants,Brachiosaurus,Water,Brachiosaurus,Trex,Parasaurolophus,Path,Path,Swamp,Forest
Water,Path,Swamp,Brachiosaurus,Dirt,Water,Path,Plants,Parasaurolophus,Mountain,Water,Mountain,Brachiosaurus,Trex,Plants,Plants,Mountain,Brachiosaurus,Swamp,Forest,Plants,Forest,Mountain,Brachiosaurus,Swamp,Fence,Forest,Plants,Brachiosaurus,Swamp
Plants,Parasaurolophus,Trex,Water,Trex,Path,Forest,Dirt,Trex,Plants,Water,Brachiosaurus,Fence,Brachiosaurus,Swamp,Plants,Parasaurolophus,Fence,Path,Trex,Plants,Mountain,Dirt,Path,Mountain,Plants,Trex,Brachiosaurus,Dirt,Dirt
Brachiosaurus,Parasaurolophus,Plants,Parasaurolophus,Fence,Forest,Brachiosaurus,Brachiosaurus,Fence,Parasaurolophus,Water,Plants,Brachiosaurus,Water,Water,Fence,Fence,Plants,Swamp,Path,Forest,Mountain,Forest,Plants,Dirt,Forest,Swamp,Fence,Swamp,Forest
Plants,Fence,Dirt,Fence,Forest,Fence,Fence,Path,Trex,Plants,Fence,Fence,Trex,Forest,Water,Dirt,Mountain,Trex,Brachiosaurus,Fence,Swamp,Plants,Path,Brachiosaurus,Mountain,Swamp,Brachiosaurus,Swamp,Water,Brachiosaurus
Fence,Forest,Water,Mountain,Dirt,Water,Mountain,Plants,Dirt,Brachiosaurus,Dirt,Mountain,Swamp,Forest,Plants,Water,Brachiosaurus,Water,Water,Brachiosaurus,Path,Parasaurolophus,Parasaurolophus,Fence,Swamp,Water,Fence,Path,Path,Mountain
Dirt,Parasaurolophus,Fence,Fence,Forest,Trex,Forest,Trex,Fence,Fence,Dirt,Parasaurolophus,Plants,Brachiosaurus,Water,Fence,Mountain,Trex,Trex,Parasaurolophus,Water,Water,Fence,Parasaurolophus,Plants,Swamp,Path,Trex,Plants,Parasaurolophus
Path,Fence,Mountain,Mountain,Dirt,Water,Plants,Mountain,Path,Water,Parasaurolophus,Mountain,Plants,Dirt,Path,Brachiosaurus,Forest,Dirt,Swamp,Fence,Path,Trex,Brachiosaurus,Parasaurolophus,Parasaurolophus,Fence,Water,Dirt,Trex,Fence
Path,Brachiosaurus,Dirt,Fence,Brachiosaurus,Swamp,Brachiosaurus,Brachiosaurus,Trex,Dirt,Water,Parasaurolophus,Plants,Water,Forest,Forest,Plants,Mountain,Parasaurolophus,Water,Water,Dirt,Forest,Fence,Dirt,Plants,Fence,Mountain,Fence,Dirt
Mountain,Dirt,Path,Swamp,Plants,Brachiosaurus,Forest,Swamp,Path,Trex,Swamp,Dirt,Forest,Path,Fence,Forest,Parasaurolophus,Parasaurolophus,Swamp,Parasaurolophus,Trex,Trex,Path,Path,Brachiosaurus,Fence,Water,Mountain,Swamp,Brachiosaurus
Trex,Swamp,Water,Swamp,Fence,Water,Dirt,Trex,Swamp,Mountain,Mountain,Brachiosaurus,Path,Brachiosaurus,Swamp,Fence,Swamp,Forest,Swamp,Path,Swamp,Parasaurolophus,Forest,Swamp,Water,Water,Brachiosaurus,Fence,Parasaurolophus,Trex
Forest,Path,Water,Parasaurolophus,Swamp,Fence,Parasaurolophus,Dirt,Mountain,Water,Path,Path,Trex,Parasaurolophus,Forest,Brachiosaurus,Forest,Forest,Brachiosaurus,Water,Mountain,Mountain,Path,Parasaurolophus,Plants,Fence,Brachiosaurus,Parasaurolophus,Fence,Plants
Brachiosaurus,Dirt,Trex,Dirt,Parasaurolophus,Water,Path,Trex,Parasaurolophus,Swamp,Forest,Water,Swamp,Dirt,Fence,Fence,Plants,Path,Parasaurolophus,Brachiosaurus,Path,Parasaurolophus,Mountain,Brachiosaurus,Dirt,Dirt,Path,Dirt,Parasaurolophus,Plants
Swamp,Brachiosaurus,Plants,Trex,Plants,Swamp,Fence,Water,Plants,Dirt,Trex,Water,Forest,Water,Mountain,Swamp,Plants,Parasaurolophus,Fence,Plants,Fence,Plants,Plants,Mountain,Swamp,Water,Path,Path,Trex,Swamp
Swamp,Brachiosaurus,Path,Dirt,Parasaurolophus,Path,Trex,Path,Mountain,Forest,Water,Swamp,Parasaurolophus,Path,Forest,Plants,Path,Forest,Forest,Path,Water,Path,Plants,Mountain,Forest,Brachiosaurus,Swamp,Fence,Trex,Parasaurolophus
Water,Fence,Parasaurolophus,Brachiosaurus,Trex,Dirt,Forest,Path,Fence,Trex,Fence,Fence,Mountain,Path,Trex,Mountain,Trex,Mountain,Forest,Water,Trex,Fence,Mountain,Water,Path,Mountain,Plants,Fence,Path,Swamp
Dirt,Path,Fence,Forest,Path,Swamp,Forest,Mountain,Mountain,Mountain,Swamp,Swamp,Parasaurolophus,Parasaurolophus,Parasaurolophus,Water,Path,Fence,Dirt,Parasaurolophus,Forest,Brachiosaurus,Trex,Brachiosaurus,Plants,Parasaurolophus,Plants,Fence,Trex,Plants
Parasaurolophus,Trex,Parasaurolophus,Parasaurolophus,Swamp,Plants,Water,Forest,Fence,Dirt,Parasaurolophus,Dirt,Dirt,Forest,Forest,Trex,Mountain,Trex,Plants,Swamp,Parasaurolophus,Brachiosaurus,Brachiosaurus,Trex,Forest,Parasaurolophus,Swamp,Trex,Mountain,Water
Fence,Plants,Dirt,Dirt,Path,Plants,Trex,Swamp,Water,Forest,Trex,Trex,Fence,Forest,Path,Dirt,Path,Plants,Mountain,Path,Dirt,Fence,Water,Path,Trex,Dirt,Forest,Parasaurolophus,Fence,Water
Parasaurolophus,Path,Mountain,Plants,Fence,Dirt,Fence,Water,Forest,Brachiosaurus,Parasaurolophus,Dirt,Forest,Fence,Fence,Plants,Fence,Forest,Swamp,Trex,Mountain,Trex,Forest,Plants,Parasaurolophus,Water,Path,Trex,Brachiosaurus,Fence
Dirt,Forest,Fence,Water,Dirt,Brachiosaurus,Dirt,Dirt,Forest,Path,Plants,Dirt,Mountain,Path,Dirt,Water,Mountain,Fence,Water,Path,Swamp,Path,Trex,Plants,Water,Swamp,Dirt,Trex,Trex,Water
Trex,Brachiosaurus,Forest,Swamp,Forest,Dirt,Brachiosaurus,Fence,Brachiosaurus,Path,Dirt,Swamp,Brachiosaurus,Parasaurolophus,Parasaurolophus,Trex,Parasaurolophus,Swamp,Brachiosaurus,Fence,Fence,Mountain,Mountain,Brachiosaurus,Trex,Path,Fence,Fence,Path,Water
Forest,Parasaurolophus,Dirt,Fence,Brachiosaurus,Forest,Plants,Brachiosaurus,Trex,Path,Parasaurolophus,Trex,Trex,Path,Path,Mountain,Fence,Path,Trex,Fence,Water,Parasaurolophus,Water,Parasaurolophus,Forest,Trex,Brachiosaurus,Dirt,Dirt,Swamp
Parasaurolophus,Water,Forest,Trex,Swamp,Mountain,Swamp,Trex,Water,Mountain,Brachiosaurus,Parasaurolophus,Water,Swamp,Swamp,Fence,Water,Brachiosaurus,Parasaurolophus,Mountain,Path,Brachiosaurus,Trex,Mountain,Parasaurolophus,Mountain,Forest,Parasaurolophus,Fence,Plants
Dirt,Water,Parasaurolophus,Brachiosaurus,Swamp,Fence,Parasaurolophus,Brachiosaurus,Brachiosaurus,Dirt,Trex,Mountain,Brachiosaurus,Mountain,Plants,Trex,Fence,Path,Water,Fence,Plants,Fence,Mountain,Forest,Plants,Path,Parasaurolophus,Dirt,Path,Plants
Water,Forest,Forest,Brachiosaurus,Brachiosaurus,Brachiosaurus,Fence,Mountain,Water,Path,Trex,Forest,Mountain,Dirt,Brachiosaurus,Parasaurolophus,Plants,Parasaurolophus,Fence,Brachiosaurus,Mountain,Swamp,Mountain,Dirt,Fence,Fence,Fence,Trex,Fence,Trex
